Dependents,tenure,InternetService,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
No,1,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No
No,34,DSL,No,No,No,No,One year,No,Mailed check,56.95,1889.5,No
No,45,DSL,No,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No
No,8,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes
Yes,22,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No
No,58,Fiber optic,No,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No
No,49,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes
Yes,10,DSL,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes
No,21,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No
No,1,DSL,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes
No,58,DSL,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No
Yes,1,DSL,Yes,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes
Yes,17,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes
No,2,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No
No,5,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes
No,46,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No
No,34,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes
No,11,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes
Yes,10,DSL,No,No,No,No,One year,No,Mailed check,49.55,475.7,No
No,49,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No
No,2,DSL,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No
No,43,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No
No,8,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes
No,18,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes
Yes,66,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No
No,72,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No
No,47,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No
No,60,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No
Yes,18,DSL,No,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No
No,9,Fiber optic,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes
No,3,DSL,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No
No,47,Fiber optic,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No
No,1,DSL,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No
No,46,DSL,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No
No,42,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No
No,9,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No
No,29,DSL,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No
Yes,30,Fiber optic,No,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No
No,1,Fiber optic,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No
No,72,Fiber optic,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No
